Category Name,order_date,quantity,sales,avg_discount_rate,late_delivery_risk,day_of_week
Accessories,2015-01-01,11,274.88999938,0.16250000325,0.75,3
Accessories,2015-01-02,5,124.9499969,0.25,1.0,4
Accessories,2015-01-03,3,74.97000122,0.180000007,0.0,5
Accessories,2015-01-05,5,124.95000076,0.159999996,1.0,0
Accessories,2015-01-07,4,99.96000099,0.110000003,1.0,2
Accessories,2015-01-08,7,174.92999839,0.07999999975,1.0,3
Accessories,2015-01-10,3,74.97000122,0.129999995,1.0,5
Accessories,2015-01-11,11,274.88999747,0.07599999980000001,0.2,6
Accessories,2015-01-12,8,199.91999812,0.1449999995,0.5,0
Accessories,2015-01-13,1,24.98999977,0.02,1.0,1
Accessories,2015-01-14,8,199.91999816,0.12666666633333334,0.0,2
Accessories,2015-01-15,6,149.93999862,0.0250000005,0.5,3
Accessories,2015-01-16,7,174.93000030000002,0.1299999985,0.5,4
Accessories,2015-01-17,4,99.95999908,0.100000001,1.0,5
Accessories,2015-01-18,9,224.90999984,0.08666666733333334,0.6666666666666666,6
Accessories,2015-01-19,6,149.93999667,0.080000003,0.5,0
Accessories,2015-01-21,2,49.97999954,0.170000002,1.0,2
Accessories,2015-01-23,8,199.91999621,0.04999999866666666,0.6666666666666666,4
Accessories,2015-01-24,7,174.92999644,0.17000000199999998,0.5,5
Accessories,2015-01-25,8,199.91999621000002,0.16666666900000002,0.6666666666666666,6
Accessories,2015-01-26,2,49.97999954,0.07,0.0,0
Accessories,2015-01-27,10,249.89999766,0.05666666633333334,0.6666666666666666,1
Accessories,2015-01-29,1,24.98999977,0.180000007,0.0,3
Accessories,2015-01-30,3,74.97000122,0.050000001,1.0,4
Accessories,2015-01-31,15,374.84999651,0.11800000299999999,0.2,5
Accessories,2015-02-01,6,149.93999862,0.059999999,0.5,6
Accessories,2015-02-02,1,24.98999977,0.159999996,1.0,0
Accessories,2015-02-04,5,124.94999885,0.10999999933333333,0.6666666666666666,2
Accessories,2015-02-05,6,149.93999862,0.153333336,0.6666666666666666,3
Accessories,2015-02-06,4,99.96000099,0.074999998,1.0,4
Accessories,2015-02-10,6,149.93999667,0.065,0.0,1
Accessories,2015-02-11,10,249.89999766,0.01,0.3333333333333333,2
Accessories,2015-02-12,7,174.92999644,0.09000000100000001,1.0,3
Accessories,2015-02-13,7,174.93000030000002,0.1750000005,0.5,4
Accessories,2015-02-14,4,99.95999908,0.059999999,1.0,5
Accessories,2015-02-15,1,24.98999977,0.090000004,0.0,6
Accessories,2015-02-16,9,224.90999598000002,0.07249999875,1.0,0
Accessories,2015-02-17,3,74.97000122,0.200000003,1.0,1
Accessories,2015-02-18,8,199.91999816,0.04666666666666667,0.6666666666666666,2
Accessories,2015-02-19,5,124.94999885,0.055,0.5,3
Accessories,2015-02-20,4,99.95999908,0.25,0.0,4
Accessories,2015-02-21,7,174.93000030000002,0.1449999955,0.5,5
Accessories,2015-02-22,14,349.85999288,0.1500000015,0.75,6
Accessories,2015-02-23,3,74.97000122,0.129999995,1.0,0
Accessories,2015-02-24,8,199.91999812,0.150000002,0.5,1
Accessories,2015-02-25,15,374.84999846,0.1520000024,0.2,2
Accessories,2015-02-26,5,124.9499969,0.170000002,0.0,3
Accessories,2015-02-27,10,249.90000152,0.07333333433333333,1.0,4
Accessories,2015-02-28,1,24.98999977,0.02,0.0,5
Accessories,2015-03-01,6,149.93999862,0.190000005,1.0,6
Accessories,2015-03-02,4,99.95999908,0.129999995,0.0,0
Accessories,2015-03-03,14,349.86000060000003,0.0524999995,0.5,1
Accessories,2015-03-04,6,149.94000053000002,0.066666665,0.6666666666666666,2
Accessories,2015-03-05,3,74.97000122,0.029999999,0.0,3
Accessories,2015-03-06,1,24.98999977,0.25,0.0,4
Accessories,2015-03-07,10,249.89999766,0.13500000275000001,0.75,5
Accessories,2015-03-08,4,99.95999908,0.160000004,1.0,6
Accessories,2015-03-09,10,249.90000152,0.02666666666666667,1.0,0
Accessories,2015-03-12,9,224.91000366,0.21000000333333335,0.3333333333333333,3
Accessories,2015-03-13,4,99.95999908,0.119999997,1.0,4
Accessories,2015-03-14,7,174.93000030000002,0.130000003,0.5,5
Accessories,2015-03-15,13,324.86999506,0.12333333233333332,0.6666666666666666,6
Accessories,2015-03-16,5,124.94999885,0.164999999,0.5,0
Accessories,2015-03-17,1,24.98999977,0.150000006,0.0,1
Accessories,2015-03-18,5,124.95000076,0.12666666466666668,0.6666666666666666,2
Accessories,2015-03-19,7,174.93000030000002,0.10000000066666666,1.0,3
